desk,cell,observation,xl,xh,yl,yh
HET5WT1_t0,1,Okay,175,210,0,27
HET5WT1_t0,2,Two cells,141,173,18,50
HET5WT1_t0,3,Two cells,171,209,53,79
HET5WT1_t0,4,Two cells,214,246,90,112
HET5WT1_t0,5,Two cells,208,228,103,131
HET5WT1_t0,6,Two cells,183,212,100,125
HET5WT1_t0,7,Okay,71,106,58,93
HET5WT1_t0,8,Okay,31,65,49,77
HET5WT1_t0,9,Focus,93,119,30,60
HET5WT1_t0,10,Okay,77,107,17,43
HET5WT1_t0,11,Okay,51,81,18,51
HET5WT1_t0,12,Okay,43,71,2,18
HET5WT1_t0,13,Edge,24,44,0,16
HET5WT1_t0,14,Okay,26,58,136,174
HET5WT1_t0,15,Focus,2,33,154,183
HET5WT1_t0,16,Okay,22,55,185,212
HET5WT1_t0,17,Focus,53,76,187,214
HET5WT1_t0,18,Okay,0,25,225,249
HET5WT1_t0,19,Okay,48,79,239,268
HET5WT1_t0,20,Okay,12,52,256,293
HET5WT1_t0,21,Focus,32,64,282,309
HET5WT1_t0,22,Okay,36,65,310,338
HET5WT1_t0,23,Okay,28,58,336,367
HET5WT1_t0,24,Okay,0,31,331,366
HET5WT1_t0,25,Okay,83,113,345,373
HET5WT1_t0,26,Okay,104,128,369,397
HET5WT1_t0,27,Focus,79,105,387,410
HET5WT1_t0,28,Okay,99,126,401,426
HET5WT1_t0,29,Okay,59,93,440,470
HET5WT1_t0,30,Okay,83,113,484,512
HET5WT1_t0,31,Focus,109,135,489,512
HET5WT1_t0,32,Okay,184,213,470,495
HET5WT1_t0,33,Focus,166,197,447,478
HET5WT1_t0,34,Okay,134,159,420,450
HET5WT1_t0,35,Okay,151,181,403,432
HET5WT1_t0,36,Focus,185,218,383,412
HET5WT1_t0,37,Okay,149,179,308,335
HET5WT1_t0,38,Okay,181,204,296,324
HET5WT1_t0,39,Okay,178,207,274,297
HET5WT1_t0,40,Okay,133,155,262,289
HET5WT1_t0,41,Focus,110,144,246,266
HET5WT1_t0,42,Focus,100,123,269,296
HET5WT1_t0,43,Two cells,114,142,189,211
HET5WT1_t0,44,Two cells,111,143,173,194
HET5WT1_t0,45,Okay,174,206,145,174
HET5WT1_t0,46,Okay,179,210,191,223
HET5WT1_t0,47,Okay,165,200,238,267
HET5WT1_t0,48,Okay,216,244,236,260
HET5WT1_t0,49,Okay,216,248,257,283
HET5WT1_t0,50,Okay,200,250,285,312
HET5WT1_t0,51,Okay,225,246,309,335
HET5WT1_t0,52,Okay,230,260,390,418
HET5WT1_t0,53,Dead,222,242,432,455
HET5WT1_t0,54,Okay,223,255,447,482
HET5WT1_t0,55,Okay,248,278,489,512
HET5WT1_t0,56,Focus,254,276,411,429
HET5WT1_t0,57,Okay,254,282,425,461
HET5WT1_t0,58,Okay,280,298,429,450
HET5WT1_t0,59,Focus,323,359,420,447
HET5WT1_t0,60,Okay,325,351,403,425
HET5WT1_t0,61,Focus,272,305,355,382
HET5WT1_t0,62,Okay,331,368,347,381
HET5WT1_t0,63,Okay,244,289,286,318
HET5WT1_t0,64,Okay,248,276,252,288
HET5WT1_t0,65,Okay,269,298,212,243
HET5WT1_t0,66,Okay,296,321,187,218
HET5WT1_t0,67,Focus,315,344,198,227
HET5WT1_t0,68,Okay,339,368,176,196
HET5WT1_t0,69,Okay,337,365,194,224
HET5WT1_t0,70,Focus,349,386,224,251
HET5WT1_t0,71,Okay,333,371,247,268
HET5WT1_t0,72,Focus,296,331,244,280
HET5WT1_t0,73,Okay,300,342,277,312
HET5WT1_t0,74,Okay,362,402,268,306
HET5WT1_t0,75,Okay,353,378,323,350
HET5WT1_t0,76,Okay,372,395,335,358
HET5WT1_t0,77,Focus,377,408,351,373
HET5WT1_t0,78,Okay,362,388,388,418
HET5WT1_t0,79,Okay,359,395,417,448
HET5WT1_t0,80,Focus,387,413,478,501
HET5WT1_t0,81,Okay,403,435,489,512
HET5WT1_t0,82,Focus,421,447,452,482
HET5WT1_t0,83,Okay,451,472,469,495
HET5WT1_t0,84,Focus,460,500,445,476
HET5WT1_t0,85,Okay,438,471,427,459
HET5WT1_t0,86,Focus,466,502,407,437
HET5WT1_t0,87,Okay,462,492,383,411
HET5WT1_t0,88,Okay,440,463,377,400
HET5WT1_t0,89,Focus,400,438,409,441
HET5WT1_t0,90,Focus,477,504,360,385
HET5WT1_t0,91,Okay,486,512,328,366
HET5WT1_t0,92,Okay,395,425,308,338
HET5WT1_t0,93,Okay,413,438,289,315
HET5WT1_t0,94,Focus,433,460,294,323
HET5WT1_t0,95,Okay,458,494,282,310
HET5WT1_t0,96,Two cells,464,491,252,276
HET5WT1_t0,97,Okay,386,412,236,256
HET5WT1_t0,98,Okay,399,423,208,230
HET5WT1_t0,99,Okay,447,495,166,204
HET5WT1_t0,100,Focus,449,474,127,147
HET5WT1_t0,101,Okay,412,442,149,176
HET5WT1_t0,102,Okay,367,412,158,195
HET5WT1_t1,1,Okay,75,106,33,65
HET5WT1_t1,2,Dead,29,50,13,47
HET5WT1_t1,3,Okay,8,33,8,51
HET5WT1_t1,4,Okay,1,28,76,111
HET5WT1_t1,5,Okay,48,75,65,98
HET5WT1_t1,6,Focus,32,65,90,118
HET5WT1_t1,7,Okay,0,31,117,141
HET5WT1_t1,8,Okay,36,68,117,143
HET5WT1_t1,9,Okay,69,99,104,137
HET5WT1_t1,10,Okay,78,112,131,158
HET5WT1_t1,11,Dead,15,45,155,191
HET5WT1_t1,12,Okay,48,75,146,188
HET5WT1_t1,13,Two cells,77,109,159,187
HET5WT1_t1,14,Okay,49,79,197,227
HET5WT1_t1,15,Okay,28,53,233,265
HET5WT1_t1,16,Okay,53,83,237,272
HET5WT1_t1,17,Okay,96,128,213,240
HET5WT1_t1,18,Okay,152,178,255,287
HET5WT1_t1,19,Okay,76,106,280,314
HET5WT1_t1,20,Okay,29,65,290,324
HET5WT1_t1,21,Okay,5,22,369,390
HET5WT1_t1,22,Okay,12,33,382,425
HET5WT1_t1,23,Okay,36,68,364,395
HET5WT1_t1,24,Okay,62,92,380,410
HET5WT1_t1,25,Okay,67,99,349,384
HET5WT1_t1,26,Okay,99,130,325,362
HET5WT1_t1,27,Okay,124,155,339,374
HET5WT1_t1,28,Focus,28,51,449,480
HET5WT1_t1,29,Okay,47,68,458,491
HET5WT1_t1,30,Okay,145,177,438,482
HET5WT1_t1,31,Okay,208,233,434,472
HET5WT1_t1,32,Okay,205,227,408,438
HET5WT1_t1,33,Two cells,176,206,343,369
HET5WT1_t1,34,Okay,207,237,339,369
HET5WT1_t1,35,Okay,212,243,371,403
HET5WT1_t1,36,Okay,268,293,406,438
HET5WT1_t1,37,Okay,315,348,403,436
HET5WT1_t1,38,Okay,339,367,452,480
HET5WT1_t1,39,Okay,406,440,470,508
HET5WT1_t1,40,Okay,444,474,452,486
HET5WT1_t1,41,Okay,410,443,438,470
HET5WT1_t1,42,Focus,419,450,406,442
HET5WT1_t1,43,Okay,437,478,379,410
HET5WT1_t1,44,Okay,440,475,323,361
HET5WT1_t1,45,Okay,388,417,384,413
HET5WT1_t1,46,Focus,370,405,405,435
HET5WT1_t1,47,Okay,338,374,355,395
HET5WT1_t1,48,Okay,309,340,338,377
HET5WT1_t1,49,Okay,292,315,358,382
HET5WT1_t1,50,Okay,233,275,339,370
HET5WT1_t1,51,Okay,198,227,280,312
HET5WT1_t1,52,Okay,237,274,263,304
HET5WT1_t1,53,Okay,306,335,297,335
HET5WT1_t1,54,Okay,372,403,338,372
HET5WT1_t1,55,Okay,401,434,301,334
HET5WT1_t1,56,Okay,450,478,266,294
HET5WT1_t1,57,Okay,451,481,233,268
HET5WT1_t1,58,Okay,397,428,243,275
HET5WT1_t1,59,Focus,430,462,174,216
HET5WT1_t1,60,Okay,418,452,132,170
HET5WT1_t1,61,Okay,459,496,118,155
HET5WT1_t1,62,Two cells,485,509,80,112
HET5WT1_t1,63,Okay,456,486,64,105
HET5WT1_t1,64,Okay,417,446,62,91
HET5WT1_t1,65,Okay,423,453,19,49
HET5WT1_t1,66,Okay,370,401,65,102
HET5WT1_t1,67,Okay,342,372,58,90
HET5WT1_t1,68,Okay,332,371,8,44
HET5WT1_t1,69,Okay,261,293,16,58
HET5WT1_t1,70,Okay,281,306,56,80
HET5WT1_t1,71,Okay,322,348,101,131
HET5WT1_t1,72,Okay,306,336,124,153
HET5WT1_t1,73,Okay,349,384,133,180
HET5WT1_t1,74,Okay,311,345,158,193
HET5WT1_t1,75,Okay,288,318,163,184
HET5WT1_t1,76,Okay,279,318,193,226
HET5WT1_t1,77,Okay,187,226,218,256
HET5WT1_t1,78,Okay,143,174,171,208
HET5WT1_t1,79,Okay,161,189,151,187
HET5WT1_t1,80,Okay,172,215,174,201
HET5WT1_t1,81,Okay,131,197,83,156
HET5WT1_t1,82,Focus,167,205,69,100
HET5WT1_t1,83,Okay,203,225,69,101
